학교구분,학교명,본분교,지역,설립구분,도로명주소,지번주소,위도,경도,학교개교일
대학원,중앙대학교 심리서비스대학원,본교,서울,사립,서울특별시 동작구 흑석로 84,서울특별시 동작구 흑석동 221,37.50472672,126.9538339,2015-03-01
대학원,김천대학교 상담・신학・경영대학원,본교,경북,사립,경상북도 김천시 대학로 214,경상북도 김천시 삼락동 754-1,36.13940425,128.0818389,2012-02-27
대학원,평택대학교 물류・문화・정보대학원,본교,경기,사립,경기도 평택시 서동대로 3825,경기도 평택시 용이동 605,36.99463923,127.1339685,1999-11-19
대학원,건국대학교 예술디자인대학원,본교,서울,사립,서울특별시 광진구 능동로 120,서울특별시 광진구 화양동 1,37.53918267,127.0747119,1997-10-25
대학원,단국대학교 국제대학원,본교,경기,사립,경기도 용인시 수지구 죽전로 152,경기도 용인시 수지구 죽전동 1491,37.32119387,127.1325359,2001-07-26
대학원,국립한국해양대학교 해양금융물류대학원,본교,부산,국립,부산광역시 영도구 태종로 727,부산광역시 영도구 동삼동 1,35.07440796,129.0873481,1945-11-05
대학원,호서대학교 벤처대학원,본교,서울,사립,서울특별시 서초구 남부순환로 2497,서울특별시 서초구 서초동 1422-7,37.48354351,127.0235521,1999-11-02
대학원,서경대학교 경영문화대학원,본교,서울,사립,서울특별시 성북구 서경로 124,서울특별시 성북구 정릉동 산 16-1,37.61541478,127.0135658,2008-03-01
대학원,한양대학교(ERICA) 예술디자인대학원,분교,경기,사립,경기도 안산시 상록구 한양대학로 55,경기도 안산시 상록구 사동 1271,37.29800473,126.8343938,2015-03-01
대학원,한양대학교(ERICA) 문화산업대학원,분교,경기,사립,경기도 안산시 상록구 한양대학로 55,경기도 안산시 상록구 사동 1271,37.29800473,126.8343938,2015-03-01
대학원,한양대학교(ERICA) 공학기술대학원,분교,경기,사립,경기도 안산시 상록구 한양대학로 55,경기도 안산시 상록구 사동 1271,37.29800473,126.8343938,2015-03-01
대학원,고신대학교 기독교세계관대학원,본교,부산,사립,부산광역시 영도구 와치로 194,부산광역시 영도구 동삼동 516-36,35.07946942,129.0621819,2014-11-10
대학원,홍익대학교 디자인콘텐츠대학원,본교,서울,사립,서울특별시 마포구 와우산로 94,서울특별시 마포구 상수동 72-1,37.55251925,126.9249906,2015-03-01
전문대학,한국폴리텍 III 대학 원주캠퍼스,본교,강원,사립,강원특별자치도 원주시 북원로2425번길 73,강원특별자치도 원주시 우산동 170,37.36262148,127.933142,1978-04-06
대학원,우송대학교 Culture-Technology융합대학원,본교,대전,사립,대전광역시 동구 동대전로 171,대전광역시 동구 자양동 155-3,36.33577184,127.4456424,2007-03-01
대학원대학,구세군사관대학원대학교,본교,경기,사립,경기도 과천시 관악산길 216,경기도 과천시 중앙동 83-2,37.43191306,126.9869016,2015-03-01
대학원,예원예술대학교 문화예술대학원,제2캠퍼스,경기,사립,경기도 양주시 은현면 예원대학로 56,경기도 양주시 은현면 용암리 784-3,37.84667225,127.0370815,2014-03-01
대학원,고려사이버대학교 융합정보대학원,본교,서울,사립,서울특별시 종로구 북촌로 106,서울특별시 종로구 계동 1-21,37.58694427,126.987063,2013-03-04
대학원,한양대학교 보건대학원,본교,서울,사립,서울특별시 성동구 왕십리로 222,서울특별시 성동구 사근동 110,37.55450355,127.0466112,2015-03-01
대학원,경남대학교 북한대학원,본교,경남,사립,경상남도 창원시 마산합포구 경남대학로 7,경상남도 창원시 마산합포구 월영동 449,35.18432093,128.5550964,1998-03-01
대학원,차의과학대학교 보건산업대학원,본교,경기,사립,경기도 포천시 해룡로 120,경기도 포천시 동교동 198-1,37.85598798,127.1375048,2015-08-01
대학원,인제대학교 산업기술융합대학원,본교,경남,사립,경상남도 김해시 인제로 197,경상남도 김해시 어방동 607,35.25281009,128.9005153,2015-09-01
대학원,서울대학교 공학전문대학원,본교,서울,국립대법인,서울특별시 관악구 관악로 1,서울특별시 관악구 신림동 산 56-1,37.46803806,126.9592943,2016-03-01
대학원,제주대학교 보건대학원,본교,제주,국립,제주특별자치도 제주시 제주대학로 102,제주특별자치도 제주시 아라일동 1,33.45723698,126.5642939,2016-03-01
대학원,가야대학교 항만물류대학원,본교,경남,사립,경상남도 김해시 삼계로 208,경상남도 김해시 삼계동 60,35.26981628,128.872321,2015-04-20
대학원,수원대학교 고용서비스대학원,본교,경기,사립,경기도 화성시 봉담읍 와우안길 17,경기도 화성시 봉담읍 와우리 1-2,37.21011748,126.9794804,2016-03-02
대학원,가천대학교 게임대학원,본교,경기,사립,경기도 성남시 수정구 성남대로 1342,경기도 성남시 수정구 복정동 620-2,37.45123487,127.1293943,2016-03-01
대학원,경성대학교 예술종합대학원,본교,부산,사립,부산광역시 남구 수영로 309,부산광역시 남구 대연동 산 37-1,35.13843836,129.100099,1984-11-27
대학원,충북대학교 세종 국가정책대학원,본교,충북,국립,충청북도 청주시 서원구 충대로 1,충청북도 청주시 서원구 개신동 12,36.63003782,127.4547916,2016-03-01
대학원,중원대학교 사회문화대학원,본교,충북,사립,충청북도 괴산군 괴산읍 문무로 85,충청북도 괴산군 괴산읍 동부리 5,36.81915515,127.7984939,2016-03-02
대학원,송원대학교 휴먼산업대학원,본교,광주,사립,광주광역시 남구 송암로 73,광주광역시 남구 송하동 365-7,35.10818451,126.8732664,2016-03-01
대학원,제주국제대학교 일반대학원,본교,제주,사립,제주특별자치도 제주시 516로 2870,제주특별자치도 제주시 영평동 2235,33.44277325,126.5698311,2016-03-01
대학원,동의대학교 국가안전정책대학원,본교,부산,사립,부산광역시 부산진구 엄광로 176,부산광역시 부산진구 가야동 467,35.14432081,129.0363092,2015-10-15
대학원,성신여자대학교 뷰티융합대학원,본교,서울,사립,서울특별시 성북구 보문로34다길 2,서울특별시 성북구 돈암동 173-1,37.59165248,127.0221456,2016-03-01
대학원,성신여자대학교 문화산업예술대학원,본교,서울,사립,서울특별시 성북구 보문로34다길 2,서울특별시 성북구 돈암동 173-1,37.59165248,127.0221456,2016-03-01
대학원,한서대학교 국제디자인융합전문대학원,본교,충남,사립,충청남도 서산시 해미면 한서1로 46,충청남도 서산시 해미면 대곡리 8,36.69071573,126.5869649,2016-03-01
대학원,국립공주대학교 테크노융합대학원,본교,충남,국립,충청남도 천안시 서북구 천안대로 1223-24,충청남도 천안시 서북구 부대동 275,36.85084041,127.1510196,2009-03-01
대학원,총신대학교 사회복지대학원,본교,서울,사립,서울특별시 동작구 사당로 143,서울특별시 동작구 사당동 200-1,37.48792901,126.9667631,2002-03-04
대학원,서울신학대학교 설교대학원,본교,경기,사립,경기도 부천시 소사구 호현로489번길 52,경기도 부천시 소사구 소사본동 101-1,37.47832495,126.7900035,2016-03-01
대학원,한일장신대학교 사회복지대학원,본교,전북,사립,전북특별자치도 완주군 상관면 왜목로 726-15,전북특별자치도 완주군 상관면 신리 694-1,35.76428301,127.2058605,1997-10-25
대학원,울산과학기술원 융합경영대학원,본교,울산,특별법법인,울산광역시 남구 테크노산업로55번길 10,울산광역시 남구 두왕동 산 68,35.5126687,129.29707,2012-02-15
대학원,한세대학교 산업보안안전대학원,본교,경기,사립,경기도 군포시 한세로 30,경기도 군포시 당정동 964-1,37.34414801,126.9538537,2016-03-01
대학원,건국대학교(글로컬) 창의융합대학원,분교,충북,사립,충청북도 충주시 충원대로 268,충청북도 충주시 단월동 322,36.94878087,127.9124302,2016-03-01
대학원,울산과학기술원 디자인-공학융합전문대학원,본교,울산,특별법법인,울산광역시 울주군 언양읍 유니스트길 50,울산광역시 울주군 언양읍 반연리 100,35.57730714,129.1876189,2016-03-01
대학원,울산과학기술원 기술경영전문대학원,본교,울산,특별법법인,울산광역시 남구 테크노산업로55번길 10,울산광역시 남구 두왕동 산 68,35.5126687,129.29707,2016-03-01
대학원,광신대학교 음악대학원,본교,광주,사립,광주광역시 북구 양산택지소로 36,광주광역시 북구 본촌동 130,35.21603426,126.8848545,2016-02-29
대학원,성균관대학교 국정전문대학원,본교,서울,사립,서울특별시 종로구 성균관로 25-2,서울특별시 종로구 명륜3가 53-21,37.58722841,126.9931151,2004-03-01
대학원,성균관대학교 기술경영전문대학원,본교,경기,사립,경기도 수원시 장안구 서부로 2066,경기도 수원시 장안구 천천동 585,37.29401434,126.9745794,2015-11-01
대학원,국립한국교통대학교 글로벌융합대학원,본교,충북,국립,충청북도 충주시 대소원면 대학로 50,충청북도 충주시 대소원면 검단리 123,36.9688467,127.8727694,2004-03-01
대학원,호남대학교 사회융합대학원,본교,광주,사립,광주광역시 광산구 호남대길 36,광주광역시 광산구 서봉동 94,35.15209939,126.7694622,2016-03-01
대학원,국립부경대학교 기술경영전문대학원,본교,부산,국립,부산광역시 남구 신선로 365,부산광역시 남구 용당동 251,35.11599725,129.089435,2016-03-02
대학원,우송대학교 글로벌외식조리대학원,본교,대전,사립,대전광역시 동구 동대전로 171,대전광역시 동구 자양동 155-3,36.33577184,127.4456424,2007-03-01
대학원,우송대학교 철도융합대학원,본교,대전,사립,대전광역시 동구 동대전로 171,대전광역시 동구 자양동 155-3,36.33577184,127.4456424,2008-03-01
대학원,부산외국어대학교 경영대학원,본교,부산,사립,부산광역시 금정구 금샘로485번길 65,부산광역시 금정구 남산동 857-1,35.26618949,129.0805533,2016-03-01
대학원,부산외국어대학교 산업대학원,본교,부산,사립,부산광역시 금정구 금샘로485번길 65,부산광역시 금정구 남산동 857-1,35.26618949,129.0805533,2016-03-01
대학원,부산외국어대학교 통합의학대학원,본교,부산,사립,부산광역시 금정구 금샘로485번길 65,부산광역시 금정구 남산동 857-1,35.26618949,129.0805533,2016-03-01
대학원,부산외국어대학교 글로벌골프대학원,본교,부산,사립,부산광역시 금정구 금샘로485번길 65,부산광역시 금정구 남산동 857-1,35.26618949,129.0805533,2016-03-01
대학원,선문대학교 글로컬통합대학원,본교,충남,사립,충청남도 아산시 탕정면 선문로221번길 70,충청남도 아산시 탕정면 갈산리 100,36.80104126,127.0757328,2016-03-01
대학원,동국대학교 국제정보보호대학원,본교,서울,사립,서울특별시 중구 필동로1길 30,서울특별시 중구 필동3가 26-1,37.55893664,126.9987376,1997-10-25
대학원,호서대학교 기술경영전문대학원,본교,충남,사립,충청남도 아산시 배방읍 호서로79번길 20,충청남도 아산시 배방읍 세출리 165,36.73446302,127.0771069,2016-03-02
